Time resolution is 1 ps
WARNING: File kernel.mem referenced from process on C:/vivado/arm.xpr/arm/arm.srcs/sources_1/new/conv_weights.v at line 29 cannot be opened for reading. Please ensure that this file is available in the current working directory or parent directory of xsim.dir location specified via -xsimdir switch.
Time=5000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=15000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=25000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=35000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=45000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=55000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=65000 | p0=0 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=75000 | p0=2 p1=0 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=85000 | p0=3 p1=2 p2=0 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=95000 | p0=4 p1=3 p2=2 p3=0 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=105000 | p0=5 p1=4 p2=3 p3=2 p4=0 p5=0 p6=0 p7=0 p8=0 | result=0
Time=115000 | p0=6 p1=5 p2=4 p3=3 p4=2 p5=0 p6=0 p7=0 p8=0 | result=0
Time=125000 | p0=7 p1=6 p2=5 p3=4 p4=3 p5=2 p6=0 p7=0 p8=0 | result=0
Time=135000 | p0=8 p1=7 p2=6 p3=5 p4=4 p5=3 p6=2 p7=0 p8=0 | result=0
Time=145000 | p0=9 p1=8 p2=7 p3=6 p4=5 p5=4 p6=3 p7=2 p8=0 | result=0
Time=155000 | p0=10 p1=9 p2=8 p3=7 p4=6 p5=5 p6=4 p7=3 p8=2 | result=0
Time=165000 | p0=11 p1=10 p2=9 p3=8 p4=7 p5=6 p6=5 p7=4 p8=3 | result=0
Time=175000 | p0=12 p1=11 p2=10 p3=9 p4=8 p5=7 p6=6 p7=5 p8=4 | result=x
Time=185000 | p0=13 p1=12 p2=11 p3=10 p4=9 p5=8 p6=7 p7=6 p8=5 | result=x
Time=195000 | p0=14 p1=13 p2=12 p3=11 p4=10 p5=9 p6=8 p7=7 p8=6 | result=x
Time=205000 | p0=15 p1=14 p2=13 p3=12 p4=11 p5=10 p6=9 p7=8 p8=7 | result=x
Time=215000 | p0=16 p1=15 p2=14 p3=13 p4=12 p5=11 p6=10 p7=9 p8=8 | result=x
Time=225000 | p0=17 p1=16 p2=15 p3=14 p4=13 p5=12 p6=11 p7=10 p8=9 | result=x
Time=235000 | p0=18 p1=17 p2=16 p3=15 p4=14 p5=13 p6=12 p7=11 p8=10 | result=x
